Airport,Year,Departure Cancellations,Arrival Cancellations,Departure Diversions,Arrival Diversions
AUS,2014.0,484.0,435.0,88.0,97.0
BDL,2004.0,426.0,368.0,70.0,26.0
BDL,2005.0,719.0,669.0,74.0,32.0
BDL,2006.0,561.0,486.0,78.0,34.0
BDL,2007.0,757.0,685.0,82.0,40.0
BDL,2008.0,587.0,499.0,74.0,80.0
BDL,2009.0,347.0,314.0,79.0,52.0
BDL,2010.0,466.0,425.0,71.0,35.0
BDL,2011.0,614.0,554.0,54.0,35.0
BDL,2012.0,295.0,257.0,48.0,26.0
BDL,2013.0,364.0,331.0,45.0,17.0
BDL,2014.0,467.0,421.0,57.0,32.0
BHM,2004.0,402.0,332.0,71.0,24.0
BHM,2005.0,419.0,395.0,63.0,25.0
BHM,2006.0,287.0,257.0,53.0,30.0
BHM,2007.0,459.0,371.0,59.0,23.0
BHM,2008.0,385.0,341.0,58.0,42.0
BHM,2009.0,249.0,209.0,61.0,64.0
BHM,2010.0,315.0,266.0,60.0,55.0
BHM,2011.0,266.0,243.0,42.0,55.0
BHM,2012.0,147.0,143.0,31.0,18.0
BHM,2013.0,203.0,186.0,50.0,52.0
BHM,2014.0,336.0,311.0,46.0,30.0
BNA,2004.0,752.0,723.0,163.0,49.0
BNA,2005.0,706.0,642.0,138.0,84.0
BNA,2006.0,739.0,712.0,187.0,87.0
BNA,2007.0,973.0,931.0,163.0,82.0
BNA,2008.0,791.0,743.0,169.0,58.0
BNA,2009.0,573.0,496.0,132.0,78.0
BNA,2010.0,886.0,830.0,137.0,98.0
BNA,2011.0,795.0,772.0,140.0,79.0
BNA,2012.0,579.0,527.0,100.0,89.0
BNA,2013.0,870.0,775.0,157.0,71.0
BNA,2014.0,1266.0,1222.0,152.0,60.0
BOS,2004.0,3332.0,3343.0,269.0,127.0
BOS,2005.0,4199.0,4155.0,266.0,185.0
BOS,2006.0,3359.0,3302.0,377.0,142.0
BOS,2007.0,4379.0,4257.0,268.0,192.0
BOS,2008.0,3655.0,3601.0,354.0,183.0
BOS,2009.0,2891.0,2838.0,284.0,126.0
BOS,2010.0,3071.0,3035.0,275.0,137.0
BOS,2011.0,3621.0,3633.0,320.0,113.0
BOS,2012.0,1498.0,1523.0,215.0,79.0
BOS,2013.0,1640.0,1633.0,275.0,148.0
BOS,2014.0,2316.0,2330.0,349.0,121.0
BUF,2004.0,514.0,435.0,40.0,46.0
BUF,2005.0,456.0,416.0,41.0,35.0
BUF,2006.0,559.0,489.0,87.0,37.0
BUF,2007.0,689.0,622.0,54.0,46.0
BUF,2008.0,611.0,539.0,60.0,37.0
BUF,2009.0,344.0,301.0,38.0,45.0
BUF,2010.0,483.0,421.0,46.0,33.0
BUF,2011.0,387.0,362.0,45.0,27.0
BUF,2012.0,330.0,298.0,35.0,36.0
BUF,2013.0,422.0,356.0,27.0,21.0
BUF,2014.0,612.0,562.0,46.0,27.0
BUR,2004.0,263.0,260.0,98.0,23.0
BUR,2005.0,285.0,235.0,110.0,19.0
BUR,2006.0,427.0,400.0,217.0,69.0
BUR,2007.0,517.0,477.0,288.0,34.0
BUR,2008.0,535.0,507.0,141.0,56.0
BUR,2009.0,412.0,390.0,115.0,47.0
BUR,2010.0,465.0,444.0,124.0,46.0
BUR,2011.0,493.0,426.0,76.0,66.0
BUR,2012.0,488.0,456.0,33.0,40.0
BUR,2013.0,399.0,386.0,30.0,8.0
BUR,2014.0,427.0,403.0,36.0,39.0
BWI,2004.0,1186.0,1093.0,162.0,176.0
BWI,2005.0,1407.0,1313.0,153.0,150.0
BWI,2006.0,1127.0,1057.0,165.0,172.0
BWI,2007.0,1759.0,1614.0,154.0,162.0
BWI,2008.0,1002.0,964.0,206.0,128.0
BWI,2009.0,1042.0,970.0,206.0,172.0
BWI,2010.0,2282.0,2180.0,203.0,229.0
BWI,2011.0,1567.0,1418.0,177.0,310.0
BWI,2012.0,1511.0,1400.0,151.0,296.0
BWI,2013.0,954.0,878.0,145.0,208.0
BWI,2014.0,1588.0,1549.0,213.0,181.0
CLE,2004.0,1438.0,1498.0,173.0,131.0
CLE,2005.0,1207.0,1216.0,158.0,152.0
CLE,2006.0,1116.0,1114.0,182.0,164.0
CLE,2007.0,1427.0,1422.0,182.0,125.0
CLE,2008.0,1359.0,1306.0,178.0,156.0
CLE,2009.0,628.0,578.0,131.0,90.0
CLE,2010.0,801.0,809.0,117.0,55.0
CLE,2011.0,1022.0,1010.0,116.0,69.0
CLE,2012.0,654.0,666.0,98.0,57.0
CLE,2013.0,759.0,762.0,117.0,54.0
CLE,2014.0,1282.0,1280.0,124.0,74.0
CLT,2004.0,1519.0,1593.0,178.0,132.0
CLT,2005.0,1715.0,1881.0,196.0,165.0
CLT,2006.0,1569.0,1742.0,283.0,204.0
CLT,2007.0,2170.0,2406.0,288.0,131.0
CLT,2008.0,1986.0,2227.0,277.0,254.0
CLT,2009.0,1149.0,1331.0,254.0,165.0
CLT,2010.0,1616.0,1790.0,217.0,175.0
CLT,2011.0,2230.0,2505.0,242.0,290.0
CLT,2012.0,1097.0,1342.0,194.0,174.0
CLT,2013.0,1701.0,1968.0,260.0,159.0
CLT,2014.0,1925.0,2145.0,163.0,214.0
CVG,2004.0,5656.0,7136.0,319.0,320.0
CVG,2005.0,4606.0,5803.0,350.0,256.0
CVG,2006.0,1816.0,2359.0,296.0,236.0
CVG,2007.0,2415.0,2908.0,249.0,153.0
CVG,2008.0,1853.0,2144.0,205.0,158.0
CVG,2009.0,1056.0,1249.0,171.0,99.0
CVG,2010.0,943.0,1111.0,127.0,103.0
CVG,2011.0,667.0,623.0,62.0,60.0
CVG,2012.0,495.0,456.0,70.0,39.0
CVG,2013.0,965.0,921.0,76.0,42.0
CVG,2014.0,670.0,592.0,47.0,35.0
DAL,2004.0,1186.0,1272.0,64.0,83.0
DAL,2005.0,969.0,1012.0,55.0,64.0
DAL,2006.0,968.0,1023.0,60.0,74.0
DAL,2007.0,1029.0,1129.0,90.0,201.0
DAL,2008.0,975.0,1064.0,113.0,139.0
DAL,2009.0,663.0,737.0,129.0,107.0
DAL,2010.0,729.0,790.0,116.0,124.0
DAL,2011.0,911.0,906.0,77.0,156.0
DAL,2012.0,588.0,595.0,74.0,84.0
DAL,2013.0,475.0,544.0,88.0,95.0
DAL,2014.0,654.0,733.0,79.0,115.0
DAY,2004.0,418.0,385.0,35.0,29.0
DAY,2005.0,378.0,354.0,31.0,22.0
DAY,2006.0,238.0,247.0,27.0,9.0
DAY,2007.0,446.0,403.0,50.0,20.0
DAY,2008.0,362.0,345.0,42.0,26.0
DAY,2009.0,240.0,206.0,50.0,27.0
DAY,2010.0,288.0,260.0,22.0,26.0
DAY,2011.0,385.0,360.0,29.0,30.0
DAY,2012.0,262.0,240.0,28.0,18.0
DAY,2013.0,333.0,305.0,20.0,10.0
DAY,2014.0,428.0,404.0,27.0,13.0
DCA,2004.0,2349.0,2159.0,164.0,190.0
DCA,2005.0,2855.0,2743.0,191.0,262.0
DCA,2006.0,2495.0,2411.0,182.0,298.0
DCA,2007.0,3282.0,3119.0,212.0,212.0
DCA,2008.0,2735.0,2623.0,191.0,136.0
DCA,2009.0,1941.0,1817.0,159.0,237.0
DCA,2010.0,3253.0,3132.0,155.0,168.0
DCA,2011.0,2496.0,2367.0,151.0,285.0
DCA,2012.0,1766.0,1690.0,125.0,189.0
DCA,2013.0,1711.0,1621.0,148.0,169.0
DCA,2014.0,2269.0,2167.0,130.0,175.0
DEN,2004.0,1379.0,1503.0,254.0,232.0
DEN,2005.0,1975.0,2152.0,338.0,262.0
DEN,2006.0,4413.0,4621.0,425.0,278.0
DEN,2007.0,3805.0,4134.0,456.0,282.0
DEN,2008.0,2725.0,2984.0,527.0,384.0
DEN,2009.0,2779.0,2978.0,522.0,564.0
DEN,2010.0,2457.0,2730.0,572.0,686.0
DEN,2011.0,2921.0,3104.0,539.0,648.0
DEN,2012.0,2000.0,2228.0,495.0,314.0
DEN,2013.0,2694.0,2898.0,461.0,727.0
DEN,2014.0,3140.0,3475.0,496.0,772.0
DFW,2004.0,5535.0,6147.0,589.0,1154.0
DFW,2005.0,4140.0,4541.0,582.0,889.0
DFW,2006.0,5502.0,5839.0,551.0,1085.0
DFW,2007.0,9372.0,9767.0,600.0,1948.0
DFW,2008.0,7272.0,7716.0,635.0,1250.0
DFW,2009.0,5101.0,5435.0,651.0,1299.0
DFW,2010.0,4507.0,4799.0,719.0,1234.0
DFW,2011.0,6114.0,6403.0,764.0,1122.0
DFW,2012.0,4980.0,5291.0,663.0,1125.0
DFW,2013.0,7150.0,7467.0,707.0,1170.0
DFW,2014.0,6830.0,7324.0,741.0,1164.0
DTW,2004.0,2171.0,2315.0,252.0,190.0
DTW,2005.0,2513.0,2628.0,318.0,260.0
DTW,2006.0,1934.0,2067.0,265.0,163.0
DTW,2007.0,4103.0,4484.0,355.0,307.0
DTW,2008.0,2583.0,2995.0,402.0,206.0
DTW,2009.0,1512.0,1954.0,424.0,207.0
DTW,2010.0,3149.0,3669.0,397.0,297.0
DTW,2011.0,1485.0,1643.0,178.0,170.0
DTW,2012.0,838.0,892.0,168.0,151.0
DTW,2013.0,2279.0,2580.0,365.0,273.0
DTW,2014.0,1866.0,1868.0,211.0,190.0
EWR,2004.0,3883.0,3981.0,295.0,418.0
EWR,2005.0,4622.0,4696.0,317.0,472.0
EWR,2006.0,4557.0,4650.0,346.0,756.0
EWR,2007.0,5926.0,5992.0,345.0,718.0
EWR,2008.0,4511.0,4608.0,324.0,545.0
EWR,2009.0,2969.0,3013.0,348.0,484.0
EWR,2010.0,3706.0,3750.0,299.0,391.0
EWR,2011.0,4502.0,4525.0,286.0,491.0
EWR,2012.0,3821.0,3915.0,315.0,310.0
EWR,2013.0,3350.0,3579.0,358.0,461.0
EWR,2014.0,4814.0,5197.0,349.0,239.0
FLL,2004.0,987.0,963.0,199.0,124.0
FLL,2005.0,1367.0,1302.0,205.0,187.0
FLL,2006.0,526.0,501.0,238.0,121.0
FLL,2007.0,709.0,674.0,232.0,130.0
FLL,2008.0,542.0,500.0,235.0,197.0
FLL,2009.0,381.0,376.0,225.0,128.0
FLL,2010.0,750.0,733.0,202.0,126.0
FLL,2011.0,767.0,745.0,206.0,128.0
FLL,2012.0,537.0,500.0,182.0,166.0
FLL,2013.0,410.0,401.0,219.0,206.0
FLL,2014.0,875.0,894.0,206.0,157.0
HNL,2004.0,96.0,89.0,33.0,41.0
HNL,2005.0,92.0,81.0,26.0,49.0
HNL,2006.0,608.0,568.0,20.0,53.0
HNL,2007.0,407.0,416.0,23.0,43.0
HNL,2008.0,463.0,484.0,47.0,50.0
HNL,2009.0,250.0,260.0,58.0,83.0
HNL,2010.0,225.0,214.0,70.0,70.0
HNL,2011.0,369.0,361.0,56.0,54.0
HNL,2012.0,258.0,269.0,55.0,62.0
HNL,2013.0,448.0,457.0,57.0,52.0
HNL,2014.0,179.0,166.0,64.0,78.0
HOU,2004.0,1238.0,1186.0,114.0,217.0
HOU,2005.0,1289.0,1224.0,163.0,257.0
HOU,2006.0,1009.0,1043.0,80.0,176.0
HOU,2007.0,940.0,951.0,114.0,265.0
HOU,2008.0,1584.0,1554.0,104.0,215.0
HOU,2009.0,844.0,808.0,105.0,240.0
HOU,2010.0,864.0,842.0,102.0,170.0
HOU,2011.0,868.0,887.0,122.0,85.0
HOU,2012.0,594.0,609.0,120.0,138.0
HOU,2013.0,540.0,553.0,117.0,117.0
HOU,2014.0,955.0,980.0,145.0,153.0
HPN,2004.0,349.0,315.0,24.0,47.0
HPN,2005.0,320.0,281.0,14.0,41.0
HPN,2006.0,290.0,258.0,29.0,45.0
HPN,2007.0,600.0,522.0,49.0,97.0
HPN,2008.0,346.0,295.0,36.0,97.0
HPN,2009.0,200.0,170.0,32.0,99.0
HPN,2010.0,305.0,269.0,32.0,61.0
HPN,2011.0,328.0,293.0,20.0,66.0
HPN,2012.0,171.0,145.0,19.0,84.0
HPN,2013.0,263.0,195.0,24.0,88.0
HPN,2014.0,474.0,386.0,23.0,112.0
IAD,2004.0,2856.0,3197.0,271.0,260.0
IAD,2005.0,2452.0,2604.0,182.0,140.0
IAD,2006.0,2232.0,2422.0,238.0,226.0
IAD,2007.0,2920.0,3116.0,180.0,168.0
IAD,2008.0,2077.0,2210.0,189.0,150.0
IAD,2009.0,1315.0,1317.0,181.0,122.0
IAD,2010.0,2020.0,2076.0,193.0,181.0
IAD,2011.0,1804.0,1842.0,186.0,177.0
IAD,2012.0,1698.0,1740.0,169.0,135.0
IAD,2013.0,1700.0,1770.0,159.0,122.0
IAD,2014.0,2032.0,2035.0,130.0,121.0
IAH,2004.0,1825.0,2010.0,344.0,885.0
IAH,2005.0,3426.0,3545.0,426.0,766.0
IAH,2006.0,2374.0,2500.0,577.0,1539.0
IAH,2007.0,2033.0,2166.0,518.0,1174.0
IAH,2008.0,3261.0,3366.0,508.0,769.0
IAH,2009.0,1249.0,1333.0,510.0,768.0
IAH,2010.0,1375.0,1484.0,486.0,544.0
IAH,2011.0,2105.0,2364.0,527.0,463.0
IAH,2012.0,1898.0,2168.0,469.0,530.0
IAH,2013.0,1894.0,2280.0,511.0,499.0
IAH,2014.0,3744.0,4297.0,576.0,625.0
IND,2004.0,509.0,480.0,63.0,26.0
IND,2005.0,608.0,572.0,103.0,49.0
IND,2006.0,387.0,359.0,125.0,53.0
IND,2007.0,991.0,945.0,131.0,54.0
IND,2008.0,749.0,708.0,102.0,69.0
IND,2009.0,520.0,490.0,97.0,70.0
IND,2010.0,622.0,560.0,103.0,60.0
IND,2011.0,598.0,524.0,64.0,68.0
IND,2012.0,296.0,251.0,63.0,48.0
IND,2013.0,434.0,376.0,82.0,49.0
IND,2014.0,786.0,680.0,66.0,68.0
ISP,2004.0,237.0,214.0,39.0,55.0
ISP,2005.0,210.0,213.0,36.0,13.0
ISP,2006.0,173.0,181.0,27.0,62.0
ISP,2007.0,175.0,166.0,26.0,34.0
ISP,2008.0,70.0,76.0,28.0,22.0
ISP,2009.0,84.0,75.0,26.0,37.0
ISP,2010.0,178.0,172.0,21.0,27.0
ISP,2011.0,147.0,138.0,16.0,29.0
ISP,2012.0,67.0,74.0,10.0,19.0
ISP,2013.0,70.0,67.0,12.0,13.0
ISP,2014.0,103.0,104.0,17.0,19.0
JAX,2004.0,645.0,558.0,94.0,63.0
JAX,2005.0,363.0,296.0,91.0,32.0
JAX,2006.0,311.0,287.0,114.0,41.0
JAX,2007.0,446.0,414.0,122.0,44.0
JAX,2008.0,495.0,434.0,85.0,73.0
JAX,2009.0,274.0,220.0,88.0,64.0
JAX,2010.0,444.0,384.0,95.0,40.0
JAX,2011.0,367.0,333.0,75.0,39.0
JAX,2012.0,234.0,194.0,56.0,37.0
JAX,2013.0,279.0,237.0,71.0,41.0
JAX,2014.0,468.0,417.0,71.0,39.0
JFK,2004.0,1340.0,1194.0,218.0,211.0
JFK,2005.0,1915.0,1749.0,245.0,407.0
JFK,2006.0,1932.0,1767.0,465.0,489.0
JFK,2007.0,4102.0,4089.0,236.0,635.0
JFK,2008.0,3196.0,3200.0,447.0,530.0
JFK,2009.0,2618.0,2728.0,307.0,375.0
JFK,2010.0,3797.0,3849.0,234.0,401.0
JFK,2011.0,2580.0,2595.0,241.0,400.0
JFK,2012.0,1591.0,1613.0,174.0,305.0
JFK,2013.0,1962.0,2007.0,238.0,259.0
JFK,2014.0,2319.0,2380.0,209.0,389.0
LAS,2004.0,1484.0,1347.0,289.0,195.0
LAS,2005.0,1400.0,1271.0,300.0,173.0
LAS,2006.0,1609.0,1460.0,377.0,245.0
LAS,2007.0,1842.0,1677.0,424.0,181.0
LAS,2008.0,2057.0,1805.0,339.0,400.0
LAS,2009.0,991.0,924.0,272.0,146.0
LAS,2010.0,1016.0,964.0,303.0,174.0
LAS,2011.0,1143.0,1088.0,281.0,160.0
LAS,2012.0,918.0,817.0,239.0,182.0
LAS,2013.0,777.0,726.0,274.0,156.0
LAS,2014.0,1115.0,1035.0,266.0,159.0
LAX,2004.0,2508.0,2727.0,382.0,270.0
LAX,2005.0,2379.0,2592.0,363.0,171.0
LAX,2006.0,3028.0,3248.0,379.0,260.0
LAX,2007.0,3259.0,3417.0,398.0,208.0
LAX,2008.0,2838.0,3077.0,476.0,237.0
LAX,2009.0,1911.0,2000.0,363.0,209.0
LAX,2010.0,2206.0,2292.0,420.0,240.0
LAX,2011.0,2617.0,2764.0,439.0,341.0
LAX,2012.0,2315.0,2493.0,479.0,241.0
LAX,2013.0,2441.0,2541.0,494.0,332.0
LAX,2014.0,2493.0,2726.0,601.0,298.0
LGA,2004.0,4347.0,4241.0,265.0,449.0
LGA,2005.0,5060.0,4879.0,271.0,592.0
LGA,2006.0,4718.0,4668.0,278.0,537.0
LGA,2007.0,6415.0,6304.0,290.0,573.0
LGA,2008.0,5753.0,5721.0,270.0,701.0
LGA,2009.0,4007.0,3943.0,272.0,546.0
LGA,2010.0,4336.0,4301.0,272.0,483.0
LGA,2011.0,4636.0,4658.0,215.0,434.0
LGA,2012.0,3408.0,3361.0,205.0,398.0
LGA,2013.0,3311.0,3319.0,211.0,545.0
LGA,2014.0,4672.0,4762.0,247.0,433.0
LGB,2004.0,92.0,85.0,32.0,79.0
LGB,2005.0,49.0,46.0,33.0,53.0
LGB,2006.0,65.0,63.0,34.0,120.0
LGB,2007.0,157.0,147.0,44.0,43.0
LGB,2008.0,134.0,135.0,46.0,89.0
LGB,2009.0,72.0,69.0,24.0,47.0
LGB,2010.0,129.0,127.0,23.0,34.0
LGB,2011.0,99.0,83.0,17.0,41.0
LGB,2012.0,84.0,66.0,9.0,20.0
LGB,2013.0,98.0,96.0,18.0,12.0
LGB,2014.0,130.0,123.0,14.0,29.0
MCI,2004.0,670.0,576.0,121.0,98.0
MCI,2005.0,688.0,602.0,100.0,137.0
MCI,2006.0,544.0,474.0,122.0,70.0
MCI,2007.0,1147.0,1006.0,162.0,151.0
MCI,2008.0,841.0,768.0,158.0,122.0
MCI,2009.0,538.0,453.0,102.0,133.0
MCI,2010.0,654.0,605.0,133.0,186.0
MCI,2011.0,818.0,755.0,120.0,139.0
MCI,2012.0,497.0,434.0,83.0,103.0
MCI,2013.0,871.0,771.0,103.0,83.0
MCI,2014.0,824.0,799.0,129.0,83.0
MCO,2004.0,2240.0,2190.0,218.0,139.0
MCO,2005.0,856.0,817.0,281.0,157.0
MCO,2006.0,784.0,721.0,288.0,171.0
MCO,2007.0,1153.0,1087.0,339.0,177.0
MCO,2008.0,1083.0,1020.0,397.0,227.0
MCO,2009.0,662.0,625.0,332.0,201.0
MCO,2010.0,1167.0,1125.0,319.0,174.0
MCO,2011.0,1224.0,1178.0,360.0,235.0
MCO,2012.0,767.0,730.0,253.0,176.0
MCO,2013.0,611.0,599.0,301.0,199.0
MCO,2014.0,1249.0,1251.0,344.0,311.0
MDW,2004.0,1056.0,1037.0,130.0,220.0
MDW,2005.0,1091.0,1085.0,127.0,238.0
MDW,2006.0,1122.0,1145.0,186.0,423.0
MDW,2007.0,1368.0,1287.0,161.0,403.0
MDW,2008.0,1246.0,1072.0,191.0,537.0
MDW,2009.0,570.0,582.0,154.0,308.0
MDW,2010.0,1247.0,1202.0,201.0,326.0
MDW,2011.0,952.0,1006.0,204.0,295.0
MDW,2012.0,731.0,754.0,188.0,229.0
MDW,2013.0,724.0,701.0,160.0,386.0
MDW,2014.0,2521.0,2394.0,189.0,621.0
MEM,2004.0,749.0,700.0,87.0,101.0
MEM,2005.0,868.0,859.0,109.0,72.0
MEM,2006.0,878.0,863.0,95.0,55.0
MEM,2007.0,1583.0,1799.0,212.0,191.0
MEM,2008.0,1516.0,1732.0,226.0,271.0
MEM,2009.0,918.0,1094.0,233.0,154.0
MEM,2010.0,1670.0,1789.0,197.0,156.0
MEM,2011.0,1087.0,1085.0,111.0,102.0
MEM,2012.0,428.0,379.0,76.0,42.0
MEM,2013.0,661.0,628.0,74.0,49.0
MEM,2014.0,445.0,378.0,53.0,38.0
MHT,2004.0,340.0,314.0,61.0,49.0
MHT,2005.0,534.0,480.0,50.0,55.0
MHT,2006.0,263.0,252.0,76.0,27.0
MHT,2007.0,444.0,426.0,67.0,14.0
MHT,2008.0,298.0,295.0,63.0,24.0
MHT,2009.0,170.0,158.0,27.0,17.0
MHT,2010.0,235.0,233.0,42.0,17.0
MHT,2011.0,302.0,289.0,29.0,10.0
MHT,2012.0,121.0,118.0,26.0,6.0
MHT,2013.0,183.0,188.0,32.0,8.0
MHT,2014.0,193.0,185.0,32.0,7.0
MIA,2004.0,1215.0,1163.0,128.0,108.0
MIA,2005.0,1483.0,1448.0,188.0,164.0
MIA,2006.0,748.0,751.0,175.0,151.0
MIA,2007.0,844.0,849.0,185.0,120.0
MIA,2008.0,787.0,795.0,176.0,131.0
MIA,2009.0,572.0,570.0,221.0,185.0
MIA,2010.0,1079.0,1079.0,233.0,177.0
MIA,2011.0,1458.0,1522.0,372.0,278.0
MIA,2012.0,921.0,960.0,247.0,237.0
MIA,2013.0,564.0,596.0,270.0,203.0
MIA,2014.0,835.0,948.0,283.0,337.0
MKE,2004.0,406.0,369.0,46.0,22.0
MKE,2005.0,416.0,371.0,57.0,22.0
MKE,2006.0,477.0,446.0,68.0,41.0
MKE,2007.0,808.0,790.0,83.0,80.0
MKE,2008.0,1200.0,1162.0,96.0,137.0
MKE,2009.0,658.0,670.0,94.0,92.0
MKE,2010.0,708.0,683.0,98.0,134.0
MKE,2011.0,770.0,758.0,104.0,72.0
MKE,2012.0,419.0,372.0,65.0,96.0
MKE,2013.0,546.0,484.0,71.0,63.0
MKE,2014.0,952.0,860.0,72.0,59.0
MSP,2004.0,1912.0,1972.0,307.0,304.0
MSP,2005.0,1785.0,1935.0,329.0,358.0
MSP,2006.0,1238.0,1380.0,286.0,277.0
MSP,2007.0,3536.0,3792.0,344.0,466.0
MSP,2008.0,1729.0,1988.0,321.0,318.0
MSP,2009.0,1450.0,1694.0,316.0,235.0
MSP,2010.0,2171.0,2467.0,299.0,257.0
MSP,2011.0,1472.0,1614.0,214.0,157.0
MSP,2012.0,751.0,868.0,197.0,169.0
MSP,2013.0,1620.0,1875.0,295.0,187.0
MSP,2014.0,1356.0,1423.0,281.0,172.0
MSY,2004.0,755.0,659.0,136.0,155.0
MSY,2005.0,1714.0,1557.0,97.0,256.0
MSY,2006.0,275.0,245.0,74.0,42.0
MSY,2007.0,380.0,342.0,77.0,43.0
MSY,2008.0,814.0,772.0,98.0,61.0
MSY,2009.0,204.0,178.0,85.0,53.0
MSY,2010.0,401.0,356.0,78.0,68.0
MSY,2011.0,406.0,358.0,91.0,46.0
MSY,2012.0,568.0,518.0,55.0,78.0
MSY,2013.0,328.0,297.0,87.0,69.0
MSY,2014.0,595.0,530.0,85.0,102.0
OAK,2004.0,689.0,655.0,112.0,69.0
OAK,2005.0,610.0,634.0,119.0,74.0
OAK,2006.0,918.0,952.0,115.0,148.0
OAK,2007.0,962.0,962.0,105.0,61.0
OAK,2008.0,964.0,979.0,111.0,73.0
OAK,2009.0,599.0,588.0,55.0,37.0
OAK,2010.0,523.0,549.0,69.0,35.0
OAK,2011.0,603.0,621.0,61.0,27.0
OAK,2012.0,454.0,456.0,63.0,21.0
OAK,2013.0,472.0,488.0,60.0,45.0
OAK,2014.0,583.0,606.0,53.0,16.0
OGG,2004.0,63.0,45.0,33.0,16.0
OGG,2005.0,42.0,24.0,16.0,16.0
OGG,2006.0,292.0,257.0,22.0,18.0
OGG,2007.0,223.0,190.0,10.0,16.0
OGG,2008.0,287.0,258.0,24.0,22.0
OGG,2009.0,106.0,80.0,20.0,18.0
OGG,2010.0,116.0,80.0,19.0,27.0
OGG,2011.0,139.0,106.0,23.0,27.0
OGG,2012.0,125.0,91.0,48.0,37.0
OGG,2013.0,210.0,168.0,40.0,39.0
OGG,2014.0,114.0,85.0,34.0,35.0
OMA,2004.0,232.0,203.0,47.0,29.0
OMA,2005.0,291.0,235.0,40.0,21.0
OMA,2006.0,313.0,290.0,62.0,32.0
OMA,2007.0,587.0,522.0,84.0,51.0
OMA,2008.0,476.0,419.0,89.0,53.0
OMA,2009.0,400.0,314.0,62.0,60.0
OMA,2010.0,365.0,291.0,53.0,54.0
OMA,2011.0,401.0,358.0,43.0,50.0
OMA,2012.0,213.0,166.0,32.0,36.0
OMA,2013.0,394.0,313.0,65.0,50.0
OMA,2014.0,498.0,447.0,63.0,72.0
ONT,2004.0,379.0,338.0,54.0,52.0
ONT,2005.0,355.0,319.0,34.0,51.0
ONT,2006.0,408.0,404.0,36.0,44.0
ONT,2007.0,471.0,441.0,63.0,68.0
ONT,2008.0,338.0,338.0,56.0,35.0
ONT,2009.0,213.0,177.0,25.0,9.0
ONT,2010.0,227.0,200.0,31.0,18.0
ONT,2011.0,234.0,214.0,30.0,26.0
ONT,2012.0,190.0,186.0,27.0,24.0
ONT,2013.0,204.0,183.0,35.0,14.0
ONT,2014.0,290.0,266.0,31.0,21.0
ORD,2004.0,11725.0,12579.0,700.0,648.0
ORD,2005.0,8466.0,9199.0,665.0,518.0
ORD,2006.0,12915.0,13808.0,766.0,1063.0
ORD,2007.0,16618.0,17571.0,707.0,887.0
ORD,2008.0,15050.0,16094.0,801.0,1027.0
ORD,2009.0,6827.0,7679.0,710.0,677.0
ORD,2010.0,7786.0,8443.0,755.0,845.0
ORD,2011.0,11659.0,12494.0,830.0,615.0
ORD,2012.0,6157.0,6814.0,703.0,640.0
